sample_id	dataset_id	axis_score	upstream_score	mmp_score	junction_score	scoring_method	qc_flags
CCFA_Risk_158	GSE57945	-0.0466315	-0.508068	0.271366	0.0968077	signed_within_dataset_zscore_mean	ok
CCFA_Risk_159	GSE57945	-0.153368	-0.506025	0.0811748	-0.0352527	signed_within_dataset_zscore_mean	ok
CCFA_Risk_160	GSE57945	-0.0908923	-0.793585	0.382369	0.138539	signed_within_dataset_zscore_mean	ok
CCFA_Risk_161	GSE57945	0.276405	-0.603225	0.671572	0.760868	signed_within_dataset_zscore_mean	ok
CCFA_Risk_162	GSE57945	-0.394193	-0.56304	-0.5905	-0.029039	signed_within_dataset_zscore_mean	ok
CCFA_Risk_163	GSE57945	-0.0560692	-0.684105	0.457001	0.0588972	signed_within_dataset_zscore_mean	ok
CCFA_Risk_164	GSE57945	-0.620986	-1.05963	-0.418442	-0.384889	signed_within_dataset_zscore_mean	ok
CCFA_Risk_165	GSE57945	0.173723	-0.565669	0.745937	0.340901	signed_within_dataset_zscore_mean	ok
CCFA_Risk_166	GSE57945	0.0456085	-0.0722386	0.093036	0.116028	signed_within_dataset_zscore_mean	ok
CCFA_Risk_167	GSE57945	0.197072	-0.131748	0.346752	0.376211	signed_within_dataset_zscore_mean	ok
CCFA_Risk_168	GSE57945	0.557175	1.74387	-0.149999	0.0776537	signed_within_dataset_zscore_mean	ok
CCFA_Risk_169	GSE57945	-0.262891	0.0439636	-0.773916	-0.058722	signed_within_dataset_zscore_mean	ok
CCFA_Risk_170	GSE57945	-0.347942	0.0395233	-0.784793	-0.298557	signed_within_dataset_zscore_mean	ok
CCFA_Risk_171	GSE57945	-0.113935	-0.611533	-0.0368096	0.306538	signed_within_dataset_zscore_mean	ok
CCFA_Risk_172	GSE57945	0.626846	0.0277249	1.19314	0.659675	signed_within_dataset_zscore_mean	ok
CCFA_Risk_173	GSE57945	-0.0878874	0.32223	-0.742961	0.15707	signed_within_dataset_zscore_mean	ok
CCFA_Risk_174	GSE57945	-0.0392851	-0.506219	0.0599804	0.328383	signed_within_dataset_zscore_mean	ok
CCFA_Risk_175	GSE57945	-0.365534	-0.510411	-0.190597	-0.395593	signed_within_dataset_zscore_mean	ok
CCFA_Risk_176	GSE57945	0.392577	0.310951	0.618582	0.248197	signed_within_dataset_zscore_mean	ok
CCFA_Risk_177	GSE57945	0.336649	0.0598521	0.609126	0.340968	signed_within_dataset_zscore_mean	ok
CCFA_Risk_178	GSE57945	-0.239953	-0.0696244	-0.635087	-0.0151487	signed_within_dataset_zscore_mean	ok
CCFA_Risk_179	GSE57945	-0.587218	-0.810915	-0.559907	-0.390832	signed_within_dataset_zscore_mean	ok
CCFA_Risk_180	GSE57945	-0.70646	-0.898247	-0.261472	-0.95966	signed_within_dataset_zscore_mean	ok
CCFA_Risk_181	GSE57945	1.05701	0.0247547	2.02707	1.11921	signed_within_dataset_zscore_mean	ok
CCFA_Risk_182	GSE57945	0.27371	0.0237687	0.256969	0.540391	signed_within_dataset_zscore_mean	ok
CCFA_Risk_183	GSE57945	-0.216583	0.449049	-0.216338	-0.882461	signed_within_dataset_zscore_mean	ok
CCFA_Risk_184	GSE57945	0.0222868	-0.0525651	-0.191289	0.310715	signed_within_dataset_zscore_mean	ok
CCFA_Risk_185	GSE57945	0.268329	-0.282905	0.823845	0.264046	signed_within_dataset_zscore_mean	ok
CCFA_Risk_186	GSE57945	0.0298811	-0.555765	0.323614	0.321795	signed_within_dataset_zscore_mean	ok
CCFA_Risk_187	GSE57945	0.582439	0.0607665	0.951217	0.735334	signed_within_dataset_zscore_mean	ok
CCFA_Risk_188	GSE57945	0.324962	0.221697	0.240246	0.512944	signed_within_dataset_zscore_mean	ok
CCFA_Risk_189	GSE57945	-0.488282	-0.365028	-0.800745	-0.299071	signed_within_dataset_zscore_mean	ok
CCFA_Risk_190	GSE57945	0.0234213	0.0960018	-0.16157	0.135832	signed_within_dataset_zscore_mean	ok
CCFA_Risk_191	GSE57945	-0.492935	-0.178932	-0.974942	-0.32493	signed_within_dataset_zscore_mean	ok
CCFA_Risk_192	GSE57945	0.045262	-0.27091	0.588435	-0.181739	signed_within_dataset_zscore_mean	ok
CCFA_Risk_193	GSE57945	0.180767	-0.174311	0.387463	0.329147	signed_within_dataset_zscore_mean	ok
CCFA_Risk_194	GSE57945	1.07367	0.523938	1.50624	1.19084	signed_within_dataset_zscore_mean	ok
CCFA_Risk_195	GSE57945	0.0904103	0.491791	-0.458525	0.237966	signed_within_dataset_zscore_mean	ok
CCFA_Risk_196	GSE57945	-0.111581	-0.057946	-0.303769	0.0269704	signed_within_dataset_zscore_mean	ok
CCFA_Risk_197	GSE57945	-0.168662	-0.165258	-0.0432324	-0.297496	signed_within_dataset_zscore_mean	ok
CCFA_Risk_198	GSE57945	-0.0434828	0.0317123	0.0722471	-0.234408	signed_within_dataset_zscore_mean	ok
CCFA_Risk_199	GSE57945	0.610945	-0.286876	1.40952	0.710188	signed_within_dataset_zscore_mean	ok
